Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Dbeiss, M.G., Avenas, Y., Zara, H., Dupont, L.","57196191367; 6603315522; 57188555810; 36857114800","A method for accelerated ageing tests of photovoltaic inverters considering the application’s mission profiles",2017,"2017 19th European Conference on Power Electronics and Applications, EPE 2017 ECCE Europe",2017-January,"", 8099055,,,,3,10.23919/EPE17ECCEEurope.2017.8099055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042153086&partnerID=40&md5=76f0576c35e8d066f275aa6958464a51",Conference Paper,Final,,Scopus,2-s2.0-85042153086
"Arana, M., Estrada, F., Maior, D.S., Mendes, J.B.S., Fernandez-Outon, L.E., Macedo, W.A.A., Barthem, V.M.T.S., Givord, D., Azevedo, A., Rezende, S.M.","57196485726; 55410291500; 57193494267; 36119205100; 8323772500; 55109554500; 6602736160; 7006566630; 35319514900; 7005154054","Observation of magnons in Mn<inf>2</inf>Au films by inelastic Brillouin and Raman light scattering",2017,"Applied Physics Letters",111,"19", 192409,,,,5,10.1063/1.5001705,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033588679&partnerID=40&md5=056f66549fc35e3cb1d055c96680475a",Article,Final,,Scopus,2-s2.0-85033588679
"Haller, H., Nguyen, V.-B., Debizet, G., Laurillau, Y., Coutaz, J., Calvary, G.","57200181246; 57200176741; 55062253900; 24741116700; 7003805525; 35615894200","Energy consumption in smarthome: Persuasive interaction respecting user's values",2017,"Proceedings of the 2017 IEEE 9th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2017",2,"", 8095199,804,809,,3,10.1109/IDAACS.2017.8095199,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040047018&partnerID=40&md5=6626871d58277e3a376f71a9547eb964",Conference Paper,Final,,Scopus,2-s2.0-85040047018
"Scanu, L., Ploix, S., Bernaud, P., Wurtz, E.","57200182090; 6602492062; 57200178668; 6603275076","ARX models inspired by physics as a service for building's users",2017,"Proceedings of the 2017 IEEE 9th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2017",2,"", 8095184,716,721,,,10.1109/IDAACS.2017.8095184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040074260&partnerID=40&md5=3d6a5876607f83e22179bc36c6ec7cfd",Conference Paper,Final,,Scopus,2-s2.0-85040074260
"Alyafi, A.A., Guillbaud, J.-P., Reignier, P., Ploix, S.","57200184479; 57200179023; 12242236000; 6602492062","Explanations engine for energy management systems in buildings",2017,"Proceedings of the 2017 IEEE 9th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2017",2,"", 8095185,722,729,,,10.1109/IDAACS.2017.8095185,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040037020&partnerID=40&md5=a182cbc67f79cf3fa7d9b33b9072eb3f",Conference Paper,Final,,Scopus,2-s2.0-85040037020
"Delhommais, M., Schanen, J.-L., Wurtz, F., Rigaud, C., Chardon, S.","57191228746; 7004499496; 6602550616; 57200511203; 57200514263","Design by optimization methodology: Application to a wide input and output voltage ranges interleaved buck converter",2017,"2017 IEEE Energy Conversion Congress and Exposition, ECCE 2017",2017-January,"", 8096629,3529,3536,,4,10.1109/ECCE.2017.8096629,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041431695&partnerID=40&md5=1b6ad885a722d5a466b4c65243612a8d",Conference Paper,Final,,Scopus,2-s2.0-85041431695
"Daniel, P.L., Gallot-Lavallee, O., Rain, P., Frelin, W., Tundo, A., Darques, M.","57200275747; 8590173600; 6603046611; 56716563600; 57200271046; 57200269181","Dielectric behaviour of cross-linked polyethylene for HVDC cables",2017,"13th International Electrical Insulation Conference, INSUCON 2017",,"", 8097165,,,,,10.23919/INSUCON.2017.8097165,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040562644&partnerID=40&md5=3a02ce70df1a3e3aad7c26e15268092a",Conference Paper,Final,,Scopus,2-s2.0-85040562644
"Daniel, P.L., Rain, P., Gallot-Lavallee, O., Frelin, W., Tundo, A., Darques, M.","57200275747; 6603046611; 8590173600; 56716563600; 57200271046; 57200269181","Dynamic of partial discharges in cables with inner cavities during thermal and DC stresses",2017,"13th International Electrical Insulation Conference, INSUCON 2017",,"", 8097192,,,,1,10.23919/INSUCON.2017.8097192,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040551610&partnerID=40&md5=e015bbd62c46d2719fbe1d0b65504e93",Conference Paper,Final,,Scopus,2-s2.0-85040551610
"Calero-Pastor, M., Mathieux, F., Brissaud, D., Dewulf, J.","56674707400; 22951203000; 6603957668; 7006029915","A method for supporting the design of efficient heating systems using EU product policy data",2017,"International Journal of Sustainable Engineering",10,"6",,313,325,,1,10.1080/19397038.2017.1359859,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026917789&partnerID=40&md5=9e6e603a83e57f1013a9ac111905950f",Article,Final,,Scopus,2-s2.0-85026917789
"Razek, A., Ciceron, J., Badel, A., Tixador, P.","7006201366; 57193952029; 24366055200; 56275961300","Superconducting magnetic energy storage and superconducting self-supplied electromagnetic launcher",2017,"EPJ Applied Physics",80,"2", 20901,,,,1,10.1051/epjap/2017160452,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032485801&partnerID=40&md5=479960e0ab50d594a5bfbcef5de93d2b",Article,Final,Open Access,Scopus,2-s2.0-85032485801
"Vauthier, A.","56578722000","Neutral meson production and correlation with charged hadrons in pp and Pb-Pb collisions with the ALICE experiment at the LHC",2017,"Nuclear Physics A",967,"",,688,691,,,10.1016/j.nuclphysa.2017.06.052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031928687&partnerID=40&md5=0907a1b06a0a153475339d7d61fb6f22",Article,Final,Open Access,Scopus,2-s2.0-85031928687
"Bulliard-Sauret, O., Ferrouillat, S., Vignal, L., Memponteil, A., Gondrexon, N.","55586539600; 8102956700; 57194005083; 6507811524; 6602532564","Heat transfer enhancement using 2 MHz ultrasound",2017,"Ultrasonics Sonochemistry",39,"",,262,271,,9,10.1016/j.ultsonch.2017.04.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018365694&partnerID=40&md5=f7857e4806292117d7cc16f195a4d7ec",Article,Final,,Scopus,2-s2.0-85018365694
"Albaba, A., Lambert, S., Kneib, F., Chareyre, B., Nicot, F.","56368024200; 25646428500; 56080411900; 24766090800; 55393501700","DEM Modeling of a Flexible Barrier Impacted by a Dry Granular Flow",2017,"Rock Mechanics and Rock Engineering",50,"11",,3029,3048,,9,10.1007/s00603-017-1286-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027078135&partnerID=40&md5=ebcce2c4091fb8ba3df297f421a795c2",Article,Final,,Scopus,2-s2.0-85027078135
"Delorme, R., Taupin, F., Flaender, M., Ravanat, J.-L., Champion, C., Agelou, M., Elleaume, H.","56662862900; 56663202300; 36468230100; 7003548472; 55895265400; 35226939700; 6603956804","Comparison of gadolinium nanoparticles and molecular contrast agents for radiation therapy-enhancement",2017,"Medical Physics",44,"11",,5949,5960,,5,10.1002/mp.12570,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031409637&partnerID=40&md5=3a02061a46cd07c9a092366bfed4d60c",Article,Final,,Scopus,2-s2.0-85031409637
"Azzouza, A., Allag, H., Yonnet, J.-P., Tixador, P.","57196423035; 35180988100; 7004005506; 56275961300","3-D New Calculation Principle of Levitation Force between Permanent Magnet and Hard Type-II Superconductor Using Integral Approach",2017,"IEEE Transactions on Magnetics",53,"11", 7933994,,,,2,10.1109/TMAG.2017.2708323,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032900711&partnerID=40&md5=bf1981903474475d4c36aca5611312ae",Article,Final,,Scopus,2-s2.0-85032900711
"Gavrea, R., Bolinger, A., Pop, V., Isnard, O., Coldea, M., Benea, D.","56951127100; 57195323024; 7005309352; 56268374500; 56385572000; 6508041645","Influence of Cu Doping on the Electronic Structure and Magnetic Properties of the Mn<inf>2</inf>VAl Heusler Compound",2017,"Physica Status Solidi (B) Basic Research",254,"11", 1700160,,,,1,10.1002/pssb.201700160,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027198551&partnerID=40&md5=453d6b1f98d29dd00d789ebd67c6c119",Article,Final,,Scopus,2-s2.0-85027198551
"Iacono-Marziano, G., Ferraina, C., Gaillard, F., Di Carlo, I., Arndt, N.T.","15841880500; 56014560500; 57206153908; 14019484500; 7004860212","Assimilation of sulfate and carbonaceous rocks: Experimental study, thermodynamic modeling and application to the Noril'sk-Talnakh region (Russia)",2017,"Ore Geology Reviews",90,"",,399,413,,11,10.1016/j.oregeorev.2017.04.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019154312&partnerID=40&md5=9172a5e5425c8dac89162aba0bacd5d7",Article,Final,,Scopus,2-s2.0-85019154312
"Cardoso De Castro, N., Quevedo, D.E., Garin, F., Canudas-De-Wit, C.","55604445000; 6602587067; 23492025000; 55667389900","Energy-Aware Radio Chip Management for Wireless Control",2017,"IEEE Transactions on Control Systems Technology",25,"6", 7888998,2121,2134,,,10.1109/TCST.2016.2634460,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017172306&partnerID=40&md5=af9a587c050db1c1bfcd9590d98241b1",Article,Final,,Scopus,2-s2.0-85017172306
"Carrete, J., Vermeersch, B., Katre, A., van Roekeghem, A., Wang, T., Madsen, G.K.H., Mingo, N.","22933544600; 15836016300; 57198338004; 55256280600; 57194578454; 7005836645; 7003790737","almaBTE : A solver of the space–time dependent Boltzmann transport equation for phonons in structured materials",2017,"Computer Physics Communications",220,"",,351,362,,39,10.1016/j.cpc.2017.06.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025169458&partnerID=40&md5=6e1315ce0fd28e80f17ae14465b9bd1d",Article,Final,,Scopus,2-s2.0-85025169458
"Stanciu, C.D., Marinca, T.F., Chicinaş, I., Isnard, O.","56352059300; 36915217100; 8244368100; 56268374500","Characterisation of the Fe-10 wt% Si nanocrystalline powder obtained by mechanical alloying and annealing",2017,"Journal of Magnetism and Magnetic Materials",441,"",,455,464,,3,10.1016/j.jmmm.2017.06.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020681226&partnerID=40&md5=8e66cd316d5e02d5bfbbd31fd64843f9",Article,Final,,Scopus,2-s2.0-85020681226
"Lenglet, J., Courtonne, J.-Y., Caurla, S.","57192682156; 56737268400; 37032651800","Material flow analysis of the forest-wood supply chain: A consequential approach for log export policies in France",2017,"Journal of Cleaner Production",165,"",,1296,1305,,3,10.1016/j.jclepro.2017.07.177,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028076633&partnerID=40&md5=2c58109e783090e5057b2f5ed25e33e5",Article,Final,,Scopus,2-s2.0-85028076633
"Aomar, L., Allag, H., Feliachi, M., Yonnet, J.-P.","57196410817; 35180988100; 6603728602; 7004005506","3-D Integral Approach for Calculating Mutual Interactions between Polygon-Shaped Massive Coils",2017,"IEEE Transactions on Magnetics",53,"11", 7931705,,,,,10.1109/TMAG.2017.2706022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032966259&partnerID=40&md5=b4c1a7f3307ff8bad5bf1fe09dc3e69b",Article,Final,,Scopus,2-s2.0-85032966259
"Proux, O., Lahera, E., Del Net, W., Kieffer, I., Rovezzi, M., Testemale, D., Irar, M., Thomas, S., Aguilar-Tapia, A., Bazarkina, E.F., Prat, A., Tella, M., Auffan, M., Rose, J., Hazemann, J.-L.","6701346481; 12777122900; 6504000513; 24437537500; 13004169800; 7801389471; 57197733149; 57198912699; 56925478600; 25625867400; 55224294700; 25652227000; 14044792000; 7404390384; 7005749822","High-energy resolution fluorescence detected X-ray absorption spectroscopy: A powerful new structural tool in environmental biogeochemistry sciences",2017,"Journal of Environmental Quality",46,"6",,1146,1157,,14,10.2134/jeq2017.01.0023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028978802&partnerID=40&md5=feebfb5d5f18612787d6da0ec365a269",Article,Final,,Scopus,2-s2.0-85028978802
"Mazzone, D.G., Raymond, S., Gavilano, J.L., Steffens, P., Schneidewind, A., Lapertot, G., Kenzelmann, M.","56296628500; 56104379100; 7003409934; 6602107081; 6602229869; 7003701104; 6603698681","Spin Resonance and Magnetic Order in an Unconventional Superconductor",2017,"Physical Review Letters",119,"18", 187002,,,,7,10.1103/PhysRevLett.119.187002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032806697&partnerID=40&md5=2c2181817d7b13d93dc06ae46dd27bdf",Article,Final,,Scopus,2-s2.0-85032806697
"Correggi, M., Devanarayanan, B., Rougerie, N.","8639956900; 57198783688; 24339509000","Universal and shape dependent features of surface superconductivity",2017,"European Physical Journal B",90,"11", 231,,,,1,10.1140/epjb/e2017-80498-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037044307&partnerID=40&md5=60e6c88ae3c2763e0854b2e12bdb93fd",Article,Final,,Scopus,2-s2.0-85037044307
"Ciszak, C., Mermoux, M., Miro, S., Gutierrez, G., Lepretre, F., Popa, I., Hanifi, K., Zacharie-Aubrun, I., Fayette, L., Chevalier, S.","57189002352; 7003614162; 6507055609; 7102326542; 55900795600; 8396570200; 14007624300; 56045075700; 6601978661; 35324077000","Micro-Raman analysis of the fuel-cladding interface in a high burnup PWR fuel rod",2017,"Journal of Nuclear Materials",495,"",,392,404,,6,10.1016/j.jnucmat.2017.08.038,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028693572&partnerID=40&md5=eef15370fed23c17fda4dfc2b1142253",Article,Final,,Scopus,2-s2.0-85028693572
"Nourdine, A., Perrin, L., Carrot, C., Baer, E., Flandin, L., Alberola, N.","54786808000; 8534013500; 7003804843; 7101818147; 55948369500; 7003557909","Compatibility of C<inf>60</inf> grafted polystyrene/P3OT: Towards the extrusion of photoactive materials",2017,"European Polymer Journal",96,"",,1,9,,1,10.1016/j.eurpolymj.2017.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029002381&partnerID=40&md5=fbe7987339cbbc60c12bc3454a4f63dd",Article,Final,,Scopus,2-s2.0-85029002381
"Mouton, I., Printemps, T., Grenier, A., Gambacorti, N., Pinna, E., Tiddia, M., Vacca, A., Mula, G.","55530726500; 56306317100; 12646644200; 6603333780; 56173655100; 56018785200; 7103244899; 7004518311","Toward an accurate quantification in atom probe tomography reconstruction by correlative electron tomography approach on nanoporous materials",2017,"Ultramicroscopy",182,"",,112,117,,6,10.1016/j.ultramic.2017.06.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021406039&partnerID=40&md5=afef80830761121744de384bba183ce5",Article,Final,,Scopus,2-s2.0-85021406039
"Brahimi, A., Alleg, S., Yamkane, Z., Lassri, H., Suňol, J.J., Hlil, E.K.","57194209309; 6602662312; 36572710600; 15840269000; 7003737775; 6603643158","Effect of the Mn/Fe Ratio on the Microstructure and Magnetic Properties in the Powder Form (Fe<inf>1−x</inf>Mn<inf>x</inf>)<inf>2</inf>P System",2017,"Journal of Superconductivity and Novel Magnetism",30,"11",,3045,3054,,3,10.1007/s10948-017-4151-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019246667&partnerID=40&md5=9f313989a6bded0faf0a0de9bda2ee93",Article,Final,,Scopus,2-s2.0-85019246667
"Saint-Paul, M., Guttin, C., Abbassi, A., Wang, Z.-S., Luo, H., Lu, X., Ren, C., Wen, H.-H., Hasselbach, K.","7005143741; 56027652200; 55414527700; 25227085500; 7401480230; 56137178100; 7102469773; 7202983675; 6603924243","Magnetic fluctuations in BaFe<inf>2−x</inf>Ni<inf>x</inf>As<inf>2</inf> superconductors",2017,"Solid State Communications",267,"",,48,52,,,10.1016/j.ssc.2017.08.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029455805&partnerID=40&md5=b609f461cd1d4bc06515abb60235dbc0",Article,Final,,Scopus,2-s2.0-85029455805
"Anwar, M.S., Lacoste, B., Aarts, J.","7202759343; 35791075800; 55867175100","Anisotropic magnetothermoelectric power of ferromagnetic thin films",2017,"Journal of Magnetism and Magnetic Materials",441,"",,542,547,,,10.1016/j.jmmm.2017.06.055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020831673&partnerID=40&md5=01f57567dbe4c07e6359e362c257d882",Article,Final,,Scopus,2-s2.0-85020831673
"Van Der Plas, G., Ménard, F., Canovas, H., Avenhaus, H., Casassus, S., Pinte, C., Caceres, C., Cieza, L.","24460923400; 57203235188; 26639121800; 55320958400; 6603643063; 17346836600; 25631712700; 6506993025","An 80 au cavity in the disk around HD 34282",2017,"Astronomy and Astrophysics",607,"", A55,,,,14,10.1051/0004-6361/201731392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034079506&partnerID=40&md5=186a941c7436bd0415eb01739649842e",Article,Final,Open Access,Scopus,2-s2.0-85034079506
"Buldgen, G., Salmon, S.J.A.J., Noels, A., Scuflaire, R., Reese, D.R., Dupret, M.-A., Colgan, J., Fontes, C.J., Eggenberger, P., Hakel, P., Kilcrease, D.P., Turck-Chièze, S.","56493230400; 35303391600; 7005483341; 6603215129; 55976084900; 8592463100; 54790566900; 7005517473; 6603561413; 6508381518; 6602366876; 7004014702","Seismic inversion of the solar entropy: A case for improving the standard solar model",2017,"Astronomy and Astrophysics",607,"", A58,,,,6,10.1051/0004-6361/201731354,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034040260&partnerID=40&md5=ead9a5d67acad58a94c40c534debf60b",Article,Final,Open Access,Scopus,2-s2.0-85034040260
"Tyrman, M., Pasko, A., Perrière, L., Etgens, V., Isnard, O., Mazaleyrat, F.","56951161400; 7003557816; 23668513100; 7003640025; 56268374500; 57196468964","Effect of Carbon Addition on Magnetic Order in Mn-Al-C Alloys",2017,"IEEE Transactions on Magnetics",53,"11", 7937839,,,,,10.1109/TMAG.2017.2710639,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032951846&partnerID=40&md5=a2fdebd566a7ba65fab0e1db18d06758",Article,Final,,Scopus,2-s2.0-85032951846
"Akrami, Y., Ashdown, M., Aumont, J., Baccigalupi, C., Ballardini, M., Banday, A.J., Barreiro, R.B., Bartolo, N., Basak, S., Benabed, K., Bernard, J.-P., Bersanelli, M., Bielewicz, P., Bonavera, L., Bond, J.R., Borrill, J., Bouchet, F.R., Boulanger, F., Bucher, M., Burigana, C., Butler, R.C., Calabrese, E., Cardoso, J.-F., Carron, J., Chiang, H.C., Colombo, L.P.L., Comis, B., Couchot, F., Coulais, A., Crill, B.P., Curto, A., Cuttaia, F., De Bernardis, P., De Rosa, A., De Zotti, G., Delabrouille, J., Di Valentino, E., Dickinson, C., Diego, J.M., Doré, O., Ducout, A., Dupac, X., Elsner, F., Enßlin, T.A., Eriksen, H.K., Falgarone, E., Fantaye, Y., Finelli, F., Frailis, M., Fraisse, A.A., Franceschi, E., Frolov, A., Galeotta, S., Galli, S., Ganga, K., Génova-Santos, R.T., Gerbino, M., González-Nuevo, J., Górski, K.M., Gruppuso, A., Gudmundsson, J.E., Hansen, F.K., Helou, G., Henrot-Versillé, S., Herranz, D., Hivon, E., Jaffe, A.H., Jones, W.C., Keihänen, E., Keskitalo, R., Kiiveri, K., Kim, J., Kisner, T.S., Krachmalnicoff, N., Kunz, M., Kurki-Suonio, H., Lagache, G., Lamarre, J.-M., Lasenby, A., Lattanzi, M., Lawrence, C.R., Le Jeune, M., Lellouch, E., Levrier, F., Liguori, M., Lilje, P.B., Lindholm, V., López-Caniego, M., Ma, Y.-Z., MacÍas-Pérez, J.F., Maggio, G., Maino, D., Mandolesi, N., Maris, M., Martin, P.G., Martínez-González, E., Matarrese, S., Mauri, N., McEwen, J.D., Melchiorri, A., Mennella, A., Migliaccio, M., Miville-Deschênes, M.-A., Molinari, D., Moneti, A., Montier, L., Moreno, R., Morgante, G., Natoli, P., Oxborrow, C.A., Paoletti, D., Partridge, B., Patanchon, G., Patrizii, L., Perdereau, O., Piacentini, F., Plaszczynski, S., Polenta, G., Rachen, J.P., Racine, B., Reinecke, M., Remazeilles, M., Renzi, A., Rocha, G., Romelli, E., Rosset, C., Roudier, G., Rubiño-Martín, J.A., Ruiz-Granados, B., Salvati, L., Sandri, M., Savelainen, M., Scott, D., Sirri, G., Spencer, L.D., Suur-Uski, A.-S., Tauber, J.A., Tavagnacco, D., Tenti, M., Toffolatti, L., Tomasi, M., Tristram, M., Trombetti, T., Valiviita, J., Van Tent, F., Vielva, P., Villa, F., Wehus, I.K., Zacchei, A.","35387346400; 6603626885; 57195496279; 57202566973; 56818885600; 7003524751; 7004240529; 57199649157; 7102099899; 35241723200; 35405956200; 7004386449; 6506576285; 15843147700; 55662855000; 57203087530; 7007123513; 7006890666; 7004457893; 6603819488; 55438741400; 24437550600; 55587898400; 49361145700; 14832390700; 7102464648; 44861035600; 35352821900; 6603218201; 35748506700; 57190702506; 14630063300; 7006520442; 55259151700; 55181000700; 6603577641; 44061152500; 7102025967; 7006314412; 6603614459; 55601073900; 6601991850; 23469136100; 7004428302; 7102697511; 7003349192; 24586692600; 56239931500; 6506341877; 16068355800; 56592156500; 7201762123; 14630273900; 7102963202; 7004144883; 6506942584; 55755712400; 55885240100; 7006440372; 14619247700; 36482758000; 7103011946; 7006333437; 6507411761; 12038761300; 6603829666; 35415116200; 35310368800; 55885669700; 22979949700; 56403277600; 14832990400; 6506052811; 36508653100; 7102120605; 6603602446; 7102326162; 57202572509; 7005763897; 27169527700; 7402265625; 25641214300; 7005574185; 56087837500; 8679650300; 6603770482; 56403356600; 8559894400; 24475375100; 6508080858; 35490928600; 14058603600; 8627117200; 14008873300; 26326972300; 7004636767; 57200572851; 26326923900; 8559862200; 56253777700; 6603802603; 35092838400; 6603678039; 55835373800; 36523417000; 55975147200; 7202177731; 35422761600; 9272122900; 6507023970; 26642108200; 15070924200; 6507134671; 7003762062; 6701856772; 56265310700; 8791932400; 6602930238; 6603018265; 56403091600; 36523570600; 26326551300; 55337191500; 36523904700; 57190443165; 6603484205; 54790196200; 6701722727; 25122855500; 56317107500; 35410388500; 6506383519; 7404952697; 6602315420; 57202554545; 54790207500; 7006585484; 54790157700; 35194662000; 6701833324; 35410597600; 7801560160; 55201919900; 6506892358; 57191372224; 6603658512; 55398967000; 6507205575; 57202563423","Planck intermediate results: LII. Planet flux densities",2017,"Astronomy and Astrophysics",607,"", A122,,,,4,10.1051/0004-6361/201630311,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035810697&partnerID=40&md5=ad1a22cb402e1a49f15503abfc34efc2",Article,Final,Open Access,Scopus,2-s2.0-85035810697
"Melandri, A., Covino, S., Zaninoni, E., Campana, S., Bolmer, J., Cobb, B.E., Gorosabel, J., Kim, J.-W., Kuin, P., Kuroda, D., Malesani, D., Mundell, C.G., Nappo, F., Sbarufatti, B., Smith, R.J., Steele, I.A., Topinka, M., Trotter, A.S., Virgili, F.J., Bernardini, M.G., D'Avanzo, P., D'Elia, V., Fugazza, D., Ghirlanda, G., Gomboc, A., Greiner, J., Guidorzi, C., Haislip, J.B., Hanayama, H., Hanlon, L., Im, M., Ivarsen, K.M., Japelj, J., Jelínek, M., Kawai, N., Kobayashi, S., Kopac, D., Lacluyzé, A.P., Martin-Carrillo, A., Murphy, D., Reichart, D.E., Salvaterra, R., Salafia, O.S., Tagliaferri, G., Vergani, S.D.","14825344600; 9535463100; 53983454800; 55589184300; 55967162400; 7005630027; 56220449700; 55983723600; 52963888800; 36005202000; 6602968544; 35426420300; 56511880800; 8205997300; 57202791683; 7006617253; 9745365700; 12801201700; 16235542900; 10244689500; 56250185300; 9270790800; 8884855600; 10242308600; 14527219100; 7102337148; 56187681400; 12776245900; 9433060200; 7004843731; 57200746605; 12776098000; 51060953800; 55943965100; 7202652119; 55628550860; 49863495300; 25651860100; 24468547200; 7404062559; 57203197890; 6603266774; 56512249100; 7007126840; 16319862500","Colour variations in the GRB 120327A afterglow",2017,"Astronomy and Astrophysics",607,"", A29,,,,1,10.1051/0004-6361/201731759,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032641680&partnerID=40&md5=e82586c8259728dbe725545a392194d9",Article,Final,Open Access,Scopus,2-s2.0-85032641680
"Petit, S., Lhotel, E., Damay, F., Boutrouille, P., Forget, A., Colson, D.","7005629206; 6507729165; 7004434141; 6506331393; 7005752896; 7006924764","Long-Range Order in the Dipolar XY Antiferromagnet Er2Sn2 O7",2017,"Physical Review Letters",119,"18", 187202,,,,9,10.1103/PhysRevLett.119.187202,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032815465&partnerID=40&md5=61bf2836b5ab0b5ac8b418d1244bb76f",Article,Final,,Scopus,2-s2.0-85032815465
"Guo, C., Favier, M., Calvert, J., Cambier, V., Galland, N., De Sarlo, L., Bize, S.","57200201069; 56352069200; 57200202118; 57200200955; 57194613935; 8912905300; 6701736096","A mercury optical lattice clock with improved magic wavelength control",2017,"2017 Joint Conference of the European Frequency and Time Forum and IEEE International Frequency Control Symposium, EFTF/IFC 2017 - Proceedings",,"", 8088940,498,499,,,10.1109/FCS.2017.8088940,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040186435&partnerID=40&md5=2aef52acc0a4d1f1bbada5211b744655",Conference Paper,Final,,Scopus,2-s2.0-85040186435
"Bilicki, S., Bookjans, E., Vallet, G., Abgrall, M., Le Targat, R., Lodewyck, J.","57189499265; 26028235300; 57190868370; 6602656042; 12782108500; 9843164400","Contributing to TAI with Sr optical lattice clocks",2017,"2017 Joint Conference of the European Frequency and Time Forum and IEEE International Frequency Control Symposium, EFTF/IFC 2017 - Proceedings",,"", 8089044,815,816,,,10.1109/FCS.2017.8089044,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040198916&partnerID=40&md5=b96f59b9ea5fce5bad9aa2612f24393e",Conference Paper,Final,,Scopus,2-s2.0-85040198916
"Vlaic, S., Rougemaille, N., Kimouche, A., Burgos, B.S., Locatelli, A., Coraux, J.","36698403000; 6507983251; 39661237900; 55832128200; 55612897600; 10640098500","Intercalating cobalt between graphene and iridium (111): Spatially dependent kinetics from the edges",2017,"Physical Review Materials",1,"5", 053406,,,,5,10.1103/PhysRevMaterials.1.053406,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042878341&partnerID=40&md5=dfd7d89fff68da3ca219edd7703f3ea5",Article,Final,,Scopus,2-s2.0-85042878341
"Philippe, C., Gillot, J., Holleville, D., Lours, M., Le Targat, R., Wolf, P., Acef, O., Leveque, T., Le Goff, R.","57190296699; 42161440100; 23975866800; 8955068600; 12782108500; 57210240543; 57205856388; 25639856400; 8294896300","1.5 μm - Optical frequency standard iodine stabilized in the 10<sup>-15</sup> range for space applications",2017,"2017 Joint Conference of the European Frequency and Time Forum and IEEE International Frequency Control Symposium, EFTF/IFC 2017 - Proceedings",,"", 8088929,471,474,,1,10.1109/FCS.2017.8088929,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040168081&partnerID=40&md5=af5900e763215e41d718c56da9c7e2a1",Conference Paper,Final,,Scopus,2-s2.0-85040168081
"Jin, D., Coasne, B.","57196147893; 6603315250","Molecular Simulation of the Phase Diagram of Methane Hydrate: Free Energy Calculations, Direct Coexistence Method, and Hyperparallel Tempering",2017,"Langmuir",33,"42",,11217,11230,,6,10.1021/acs.langmuir.7b02238,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032029740&partnerID=40&md5=16dd5848684034e8c2c1eb9ad1674fac",Article,Final,,Scopus,2-s2.0-85032029740
