Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Torbert, R.B., Burch, J.L., Phan, T.D., Hesse, M., Argall, M.R., Shuster, J., Ergun, R.E., Alm, L., Nakamura, R., Genestreti, K.J., Gershman, D.J., Paterson, W.R., Turner, D.L., Cohen, I., Giles, B.L., Pollock, C.J., Wang, S., Chen, L.-J., Stawarz, J.E., Eastwood, J.P., Hwang, K.J., Farrugia, C., Dors, I., Vaith, H., Mouikis, C., Ardakani, A., Mauk, B.H., Fuselier, S.A., Russell, C.T., Strangeway, R.J., Moore, T.E., Drake, J.F., Shay, M.A., Khotyaintsev, Y.V., Lindqvist, P.-A., Baumjohann, W., Wilder, F.D., Ahmadi, N., Dorelli, J.C., Avanov, L.A., Oka, M., Baker, D.N., Fennell, J.F., Blake, J.B., Jaynes, A.N., Le Contel, O., Petrinec, S.M., Lavraud, B., Saito, Y.","6701402789; 57203071451; 7102804364; 7102865294; 56312850300; 56312803900; 7006660827; 55832466800; 8883130800; 55953868800; 36092736500; 36158281100; 25927721700; 47061134800; 7006512935; 7102646025; 56449759000; 57155624100; 55360924300; 7103301626; 57204704335; 7003473546; 6507533360; 6507152332; 23994435100; 57204709567; 6701437572; 7004091335; 57203513298; 7003296793; 55950982500; 7201816639; 6701490261; 8416866900; 56421713400; 7007130008; 24759602900; 57189253621; 6506778968; 6602861236; 16139177400; 7404141884; 7003989158; 7201880592; 55837312600; 6506718570; 8445152900; 8310662100; 57080229800","Electron-scale dynamics of the diffusion region during symmetric magnetic reconnection in space",2018,"Science",362,"6421",,1391,1395,,21,10.1126/science.aat2998,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056343256&partnerID=40&md5=17fbd855fe1ed8fab0a2358d072e09bf",Article,Final,,Scopus,2-s2.0-85056343256
"Lehot, V., Brissonnet, Y., Dussouy, C., Brument, S., Cabanettes, A., Gillon, E., Deniaud, D., Varrot, A., Le Pape, P., Gouin, S.G.","57204798423; 36630027400; 55324679600; 55793874000; 57203170875; 57068350200; 6701759305; 6601938553; 6603861908; 7003592516","Multivalent Fucosides with Nanomolar Affinity for the Aspergillus fumigatus Lectin FleA Prevent Spore Adhesion to Pneumocytes",2018,"Chemistry - A European Journal",24,"72",,19243,19249,,2,10.1002/chem.201803602,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057251506&partnerID=40&md5=18d66ab6e47fbe6e93e6faaba246c75e",Article,Final,,Scopus,2-s2.0-85057251506
"Lone, Q., Duble, E., Rousseau, F., Moerman, I., Giannoulis, S., Duda, A.","56267298100; 55364648900; 7102890398; 7005875225; 16021590500; 7005692500","WiSH-WalT: A Framework for Controllable and Reproducible LoRa Testbeds",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",2018-September,"", 8580722,,,,2,10.1109/PIMRC.2018.8580722,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055507105&partnerID=40&md5=143dca9c98929fdb2e612b1217ed1124",Conference Paper,Final,,Scopus,2-s2.0-85055507105
"Krook, N.M., Ford, J., Maréchal, M., Rannou, P., Meth, J.S., Murray, C.B., Composto, R.J.","56108845400; 55434554200; 8665670200; 7005527700; 6602879809; 55114901500; 7003434447","Alignment of Nanoplates in Lamellar Diblock Copolymer Domains and the Effect of Particle Volume Fraction on Phase Behavior",2018,"ACS Macro Letters",7,"12",,1400,1407,,2,10.1021/acsmacrolett.8b00665,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056889343&partnerID=40&md5=9e3a0bde6eaaac8b82f68de7a44d5746",Article,Final,,Scopus,2-s2.0-85056889343
"Cañas, J., Piñero, J.C., Lloret, F., Gutierrez, M., Pham, T., Pernot, J., Araujo, D.","57210909992; 55892047000; 57190061921; 35240020700; 57195995728; 7004150899; 7005138382","Determination of alumina bandgap and dielectric functions of diamond MOS by STEM-VEELS",2018,"Applied Surface Science",461,"",,93,97,,1,10.1016/j.apsusc.2018.06.163,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049043008&partnerID=40&md5=f3b55439f5201623c1117d9f64ce78ea",Article,Final,,Scopus,2-s2.0-85049043008
"Chuayboon, S., Abanades, S., Rodat, S.","56347054300; 6603568411; 25228156100","Comprehensive performance assessment of a continuous solar-driven biomass gasifier",2018,"Fuel Processing Technology",182,"",,1,14,,1,10.1016/j.fuproc.2018.10.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055124294&partnerID=40&md5=38989ee54918dd8cd726eba1ed96489f",Article,Final,,Scopus,2-s2.0-85055124294
"Revil, A., Qi, Y., Ghorbani, A., Soueid Ahmed, A., Ricci, T., Labazuy, P.","57203079832; 55958019400; 23492098700; 55775505700; 15725896500; 6602673938","Electrical conductivity and induced polarization investigations at Krafla volcano, Iceland",2018,"Journal of Volcanology and Geothermal Research",368,"",,73,90,,2,10.1016/j.jvolgeores.2018.11.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056655507&partnerID=40&md5=67e6241bcbddb9855dc6e30783ab25a7",Article,Final,,Scopus,2-s2.0-85056655507
"Revil, A., Ghorbani, A., Gailler, L.S., Gresse, M., Cluzel, N., Panwar, N., Sharma, R.","57203079832; 23492098700; 26421647600; 56483260200; 24340595100; 56387011300; 55789505557","Electrical conductivity and induced polarization investigations at Kilauea volcano, Hawai'i",2018,"Journal of Volcanology and Geothermal Research",368,"",,31,50,,1,10.1016/j.jvolgeores.2018.10.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056465140&partnerID=40&md5=2c20e147a72286ebc77474054870266f",Article,Final,,Scopus,2-s2.0-85056465140
"Park, J., Mouis, M., Triozon, F., Cresti, A.","57205083691; 6603909794; 6603168169; 6603043601","Impact of edge roughness on the electron transport properties of MoS <inf>2</inf> ribbons",2018,"Journal of Applied Physics",124,"22", 224302,,,,1,10.1063/1.5050383,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058471989&partnerID=40&md5=bac1d71a87c3e52d26062db716b27022",Article,Final,,Scopus,2-s2.0-85058471989
"Rubioscola, I., Patrone, M., Feroldi, D., Besancon, G.","57205509210; 57201431376; 14323142400; 7006762236","Observer-Based Controller for an Electric Vehicle with Hybrid Energy Storage",2018,"2018 Argentine Conference on Automatic Control, AADECA 2018",,"", 8577241,,,,,10.23919/AADECA.2018.8577241,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060298978&partnerID=40&md5=630c2ad7ec7b8f406833c5f9111957df",Conference Paper,Final,,Scopus,2-s2.0-85060298978
