Bibcode;Nombre de citations;Nombre de références;auteur ;Titre;Présent sur ArXiv
2014A&A...567A.124H;10;52;" Hareter, M.; Paparó, M.; Weiss, W.; García Hernández, A.; Borkovits, T.; Lampens, P.; Rainer, M.; De Cat, P.; Marcos-Arenal, P.; Vos, J.; Poretti, E.; Baglin, A.; Michel, E.; Baudin, F.; Catala, C";HD 51844: An Am ? Scuti in a binary showing periastron brightening;oui
2020MNRAS.493L..44J;1;54;" Javanmardi, Behnam; Kroupa, Pavel";A correlation between the number of satellites and the baryonic bulge-to-total ratio extending beyond the Local Group;oui
2019PhRvD..99j3017X;7;121;" Xia, Cheng-Jun; Maruyama, Toshiki; Yasutake, Nobutoshi; Tatsumi, Toshitaka";Constraining quark-hadron interface tension in the multimessenger era;oui
2018MNRAS.481L.136S;5;43;" Shu, Yiping; Marques-Chaves, Rui; Evans, N. Wyn; Pérez-Fournon, Ismael";SDSS J0909+4449: A large-separation strongly lensed quasar at  z~ 2.8 with three images;oui
;;;;;
