UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;MEDICAL IMAGING 2018: PHYSICS OF MEDICAL IMAGING;EX-VIVO MICE MAMMARY GLANDS CHARACTERIZATION USING ENERGY-DISPERSIVE X-RAY DIFFRACTION AND SPATIALLY RESOLVED CDZNTE DETECTORS;"FILHOL, ODILE; VILGRAIN, ISABELLE";" INSERM, UMRS1036, BIOL CANC & INFECT, F-38054 GRENOBLE, FRANCE.; ";;
;DISEASE MARKERS;TGF-BETA POLYMORPHISMS ARE A RISK FACTOR FOR CHAGAS DISEASE;"BAILLY, SABINE; FEIGE, JEAN-JACQUES";" INSERM, U1036, F-38000 GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER;EG-VEGF RECEPTOR, THE PROKR2, IS A TARGET FOR THE TREATMENT OF GESTATIONAL CHORIOCARCINOMA: IN VITRO AND IN VIVO STUDIES;"ALFAIDY, NADIA; TRABOULSI, WAEL; SERGENT, FREDERIC; FEIGE, JEAN-JACQUES";" INSERM, U1036, BIOL CANC & INFECT, GRENOBLE, FRANCE.; ";;
;ANGIOGENESIS;METAFORE STUDY: 8 YEARS LATER. FOLLOW-UP OF HHT PATIENTS TREATED WITH BEVACIZUMAB FOR SEVERE HEPATIC VASCULAR MALFORMATIONS AND HIGH CARDIAC OUTPUT;"BAILLY, S.;";" INSERM, UNITE 1036, BIOL CANC & INFECT, F-38054 GRENOBLE, FRANCE.; ";;
;ANGIOGENESIS;WHOLE-EXOME SEQUENCING IN HHT PATIENTS;"BAILLY, S.;";" INSERM, UNITE 1036, BIOL CANC & INFECT, GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF CANCER;MIR-483-5P AND MIR-139-5P PROMOTE AGGRESSIVENESS BY TARGETING N-MYC DOWNSTREAM-REGULATED GENE FAMILY MEMBERS IN ADRENOCORTICAL CANCER;"AGOSTA, CLAIRE; LAUGIER, JONATHAN; GUYON, LAURENT; DENIS, JOSIANE; FEIGE, JEAN-JACQUES; CHABRE, OLIVIER; CHERRADI, NADIA";" COMMISSARIAT ENERGIE ATOM BIOL CANC & INFECT, INST BIOSCI & BIOTECHNOL GRENOBLE, GRENOBLE, FRANCE.; ";;
;COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY;BONE MORPHOGENETIC PROTEINS IN VASCULAR HOMEOSTASIS AND DISEASE;BAILLY, SABINE;" COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT, BIOSCI & BIOTECHNOL INST GRENOBLE, LAB BIOL CANC & INFECT, F-38000 GRENOBLE, FRANCE.; ";;
;MOLECULAR HUMAN REPRODUCTION;FORMYL PEPTIDE RECEPTOR-2 IS DECREASED IN FOETAL GROWTH RESTRICTION AND CONTRIBUTES TO PLACENTAL DYSFUNCTION;ALFAIDY, NADIA;" CEA, IRTSV BIOL CANC & INFECT, GRENOBLE, FRANCE.; ";;
;MEDICAL IMAGING 2018: PHYSICS OF MEDICAL IMAGING;EX-VIVO MICE MAMMARY GLANDS CHARACTERIZATION USING ENERGY-DISPERSIVE X-RAY DIFFRACTION AND SPATIALLY RESOLVED CDZNTE DETECTORS;"FILHOL, ODILE; VILGRAIN, ISABELLE";" CEA, BIOSCI & BIOTECHNOL INST GRENOBLE, BIOL CANC & INFECT, F-38054 GRENOBLE, FRANCE.;";;
;DISEASE MARKERS;TGF-BETA POLYMORPHISMS ARE A RISK FACTOR FOR CHAGAS DISEASE;"BAILLY, SABINE; FEIGE, JEAN-JACQUES";" CEA, BIG BIOL CANC & INFECT, F-38000 GRENOBLE, FRANCE.; ";;
BIOSC-BGE;;;;;;
;CANCERS;EXTERNALIZED KERATIN 8: A TARGET AT THE INTERFACE OF MICROENVIRONMENT AND INTRACELLULAR SIGNALING IN COLORECTAL CANCER CELLS;COUTE, YOHANN;" CEA, INSERM,UGA,BIOSCI & BIOTECHNOL INST, COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT CEA, GRENOBLE LAB BIOL GRANDE ECHELLE BIG BGE,U1038, F-38054 GRENOBLE 9, FRANCE.; ";;
;PLOS GENETICS;THE TRIHELIX TRANSCRIPTION FACTOR GT2-LIKE 1 (GTL1) PROMOTES SALICYLIC ACID METABOLISM, AND REGULATES BACTERIAL-TRIGGERED IMMUNITY;PFLIEGER, DELPHINE;" UNIV GRENOBLE ALOES, BIG BGE, INSERM, CEA, GRENOBLE, FRANCE.; ";;
;PLOS GENETICS;THE TRIHELIX TRANSCRIPTION FACTOR GT2-LIKE 1 (GTL1) PROMOTES SALICYLIC ACID METABOLISM, AND REGULATES BACTERIAL-TRIGGERED IMMUNITY;PFLIEGER, DELPHINE;" CNRS, BIG BGE, GRENOBLE, FRANCE.;";;
