UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES;EVALUATION OF CEFTRIAXONE PRESCRIPTIONS IN THE EMERGENCY DEPARTMENT OF A UNIVERSITY HOSPITAL: AN URGENT NEED FOR IMPROVEMENT AND ALTERNATIVE THERAPY;PAVESE, PATRICIA;" GRENOBLE UNIV HOSP, DEPT INFECT DIS, LA TRONCHE, FRANCE.;";;
;THROMBOSIS RESEARCH;LONG-TERM OUTCOMES OF ISOLATED SUPERFICIAL VEIN THROMBOSIS IN PATIENTS WITH ACTIVE CANCER;"BLAISE, SOPHIE; PERNOD, GILLES";" GRENOBLE UNIV HOSP, DEPT VASC MED, GRENOBLE, FRANCE.; ";;
;ANNALS OF VASCULAR SURGERY;FEMORAL BIFURCATION ENDARTERECTOMY WITH TRANSECTION-EVERSION OF THE SUPERFICIAL FEMORAL ARTERY: TECHNIQUE AND RESULTS;"PEROU, SEBASTIEN; PIRVU, AUGUSTIN; MOREL, JESSICA; MAGNE, JEAN-LUC; ELIE, AMANDINE; SPEAR, RAFAELLE";" GRENOBLE UNIV HOSP, DEPT VASC, GRENOBLE, FRANCE.; ";;
;ANNALS OF VASCULAR SURGERY;FEMORAL BIFURCATION ENDARTERECTOMY WITH TRANSECTION-EVERSION OF THE SUPERFICIAL FEMORAL ARTERY: TECHNIQUE AND RESULTS;"PEROU, SEBASTIEN; PIRVU, AUGUSTIN; MOREL, JESSICA; MAGNE, JEAN-LUC; ELIE, AMANDINE; SPEAR, RAFAELLE";" GRENOBLE UNIV HOSP, DEPT THORAC SURG, GRENOBLE, FRANCE.;";;
;DIABETES TECHNOLOGY & THERAPEUTICS;STUDY OF MINIMED 640G INSULIN PUMP WITH SMARTGUARD IN PREVENTION OF LOW GLUCOSE EVENTS IN ADULTS WITH TYPE 1 DIABETES (SMILE): DESIGN OF A HYPOGLYCEMIA PREVENTION TRIAL WITH CONTINUOUS GLUCOSE MONITORING DATA AS OUTCOMES;LABLANCHE, SANDRINE;" GRENOBLE UNIV HOSP, DEPT DIABETOL, GRENOBLE, FRANCE.; ";;
;CLINICAL AND TRANSLATIONAL ALLERGY;IMPROVEMENT IN DIAGNOSTIC DELAYS OVER TIME IN PATIENTS WITH HEREDITARY ANGIOEDEMA: FINDINGS FROM THE ICATIBANT OUTCOME SURVEY;BOUILLET, LAURENCE;" GRENOBLE UNIV HOSP, NATL REFERENCE CTR ANGIOEDEMA, INTERNAL MED DEPT, GRENOBLE, FRANCE.; ";;
;RESPIRATORY MEDICINE;INCORPORATING TELEMEDICINE INTO THE INTEGRATED CARE OF THE COPD PATIENT A SUMMARY OF AN INTERDISCIPLINARY WORKSHOP HELD IN STRESA, ITALY, 7-8 SEPTEMBER 2017;PEPIN, JEAN-LOUIS;" GRENOBLE UNIV HOSP, DIV RES, CLIN RES ADM, SLEEP & EXERCISE DEPT, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF SPORTS MEDICINE;GRAFT CHOICE AND THE INCIDENCE OF OSTEOARTHRITIS AFTER ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION A CAUSAL ANALYSIS FROM A COHORT OF 541 PATIENTS;MORIN, VINCENT;" GRENOBLE UNIV HOSP, DEPT ORTHOPED SURG, GRENOBLE, FRANCE.; ";;
;INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED;INTEGRATING EXTENDED FOCUSED ASSESSMENT WITH SONOGRAPHY FOR TRAUMA (EFAST) IN THE INITIAL ASSESSMENT OF SEVERE TRAUMA: IMPACT ON THE MANAGEMENT OF 756 PATIENTS;BOUZAT, PIERRE;" GRENOBLE UNIV HOSP, DEPT ANESTHESIOL & INTENS CARE MED, GRENOBLE, FRANCE.; ";;
;CRITICAL CARE MEDICINE;ASSOCIATION BETWEEN BODY WEIGHT VARIATION AND SURVIVAL AND OTHER ADVERSE EVENTS IN CRITICALLY ILL PATIENTS WITH SHOCK: A MULTICENTER COHORT STUDY OF THE OUTCOMEREA NETWORK;SCHWEBEL, CAROLE;" GRENOBLE UNIV HOSP, POLYVALENT ICU, PAVILLON DAUPHINE, GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF CARDIOLOGY;TRANSCATHETER CLOSURE OF LARGE ATRIAL SEPTAL DEFECTS (ASDS) IN SYMPTOMATIC CHILDREN WITH DEVICE/WEIGHT RATIO >= 1.5;BOUVAIST, HELENE;" GRENOBLE UNIV HOSP, DEPT PEDIAT CARDIOL, GRENOBLE, FRANCE.; ";;
;BMC NEPHROLOGY;A LARGE, INTERNATIONAL STUDY ON POST-TRANSPLANT GLOMERULAR DISEASES: THE TANGO PROJECT;MALVEZZI, PAOLO;" GRENOBLE UNIV HOSP, SERV NEPHROL DIALYSE APHERESES & TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
;HEART;DEVICE COMPLICATIONS WITH ADDITION OF DEFIBRILLATION TO CARDIAC RESYNCHRONISATION THERAPY FOR PRIMARY PREVENTION;DEFAYE, PASCAL;" GRENOBLE UNIV HOSP, CARDIOL DEPT, GRENOBLE 9, FRANCE.; ";;
;THROMBOSIS AND HAEMOSTASIS;BENEFIT OF RISK SCORE-GUIDED PROPHYLAXIS IN PREGNANT WOMEN AT RISK OF THROMBOTIC EVENTS: A CONTROLLED BEFORE-AND-AFTER IMPLEMENTATION STUDY;EQUY, VERONIQUE;" GRENOBLE UNIV HOSP, DEPT GYNECOL & OBSTET, GRENOBLE, FRANCE.; ";;
;JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY;PORCINE ABDOMINAL CUTANEOUS FLAP MODEL: A SIMPLE AND RELIABLE METHOD;"BOUYER, M.;";" GRENOBLE UNIV HOSP, DEPT HAND & BURN SURG, AVE MAQUIS DU GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";;
;JOURNAL OF MAGNETIC RESONANCE IMAGING;TRACK-WEIGHTED IMAGING FOR NEURORETINA: EVALUATIONS IN HEALTHY VOLUNTEERS AND ISCHEMIC OPTIC NEUROPATHY;"ATTYE, ARNAUD; JEAN, CLEMENT; REMOND, PERRINE; KRAINIK, ALEXANDRE";" GRENOBLE UNIV HOSP, NEURORADIOL & MRI DEPT, CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";;
;JOURNAL OF MAGNETIC RESONANCE IMAGING;TRACK-WEIGHTED IMAGING FOR NEURORETINA: EVALUATIONS IN HEALTHY VOLUNTEERS AND ISCHEMIC OPTIC NEUROPATHY;"REMOND, PERRINE; APTEL, FLORENT; CHIQUET, CHRISTOPHE";" GRENOBLE UNIV HOSP, DEPT OPHTHALMOL, GRENOBLE, FRANCE.; ";;
;ALLERGY;EVALUATION OF AVORALSTAT, AN ORAL KALLIKREIN INHIBITOR, IN A PHASE 3 HEREDITARY ANGIOEDEMA PROPHYLAXIS TRIAL: THE OPUS-2STUDY;"BOUILLET, L.;";" GRENOBLE UNIV HOSP, NATL REFERENCE CTR ANGIOEDEMA, INTERNAL MED, GRENOBLE, FRANCE.; ";;
;CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING;QUADRICEPS MUSCLE FAT INFILTRATION IS ASSOCIATED WITH CARDIOMETABOLIC RISK IN COPD;"MONCHARMONT, LUC; FERRETTI, GILBERT";" GRENOBLE UNIV HOSP, DEPT RADIOL, GRENOBLE, FRANCE.; ";;
;CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING;QUADRICEPS MUSCLE FAT INFILTRATION IS ASSOCIATED WITH CARDIOMETABOLIC RISK IN COPD;ARBIB, FRANCOIS;" GRENOBLE UNIV HOSP, DEPT CARDIORESP FUNCT EXPLORAT, GRENOBLE, FRANCE.; ";;
;CHEMOSPHERE;IMPACT OF CHRONIC AND LOW CADMIUM EXPOSURE OF RATS: SEX SPECIFIC DISRUPTION OF GLUCOSE METABOLISM;"ARNAUD, JOSIANE; HAZANE-PUCH, FLORENCE; FONTAINE, ERIC";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;APPLIED PHYSICS B-LASERS AND OPTICS;LASER SPECTROSCOPY FOR BREATH ANALYSIS: TOWARDS CLINICAL IMPLEMENTATION;BRIOT, RAPHAEL;" GRENOBLE UNIV HOSP, EMERGENCY DEPT, GRENOBLE, FRANCE.; ";;
;APPLIED PHYSICS B-LASERS AND OPTICS;LASER SPECTROSCOPY FOR BREATH ANALYSIS: TOWARDS CLINICAL IMPLEMENTATION;BRIOT, RAPHAEL;" GRENOBLE UNIV HOSP, MOBILE INTENS CARE UNIT, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;DONOR CLUB CELL SECRETORY PROTEIN G38A POLYMORPHISM IS ASSOCIATED WITH A DECREASED RISK OF PRIMARY GRAFT DYSFUNCTION IN THE FRENCH COHORT IN LUNG TRANSPLANTATION;CLAUSTRE, JOHANNA;" GRENOBLE UNIV, GRENOBLE UNIV HOSP, DIV PULMONOL, INSERM,U1055, GRENOBLE, FRANCE.; ";;
;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;THROMBOPROPHYLAXIS FOR AMBULATORY SURGERY: RESULTS FROM A PROSPECTIVE NATIONAL COHORT;ALBALADEJO, PIERRE;" GRENOBLE UNIV HOSP, DEPT ANAESTHESIA & INTENS CARE, GRENOBLE, FRANCE.;";;
;ANNALS OF THE RHEUMATIC DISEASES;EFFICACY AND SAFETY OF BIOLOGICS IN RELAPSING POLYCHONDRITIS: A FRENCH NATIONAL MULTICENTRE STUDY;"BOUILLET, LAURENCE; ANDRY, FANNY";" GRENOBLE UNIV HOSP, DEPT INTERNAL MED, GRENOBLE, FRANCE.; ";;
;ORPHANET JOURNAL OF RARE DISEASES;DEEP CHARACTERIZATION OF THE ANTI-DRUG ANTIBODIES DEVELOPED IN FABRY DISEASE PATIENTS, A PROSPECTIVE ANALYSIS FROM THE FRENCH MULTICENTER COHORT FFABRY;BESSON, GERARD;" GRENOBLE UNIV HOSP, NEUROL DEPT, GRENOBLE, FRANCE.; ";;
;SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION & EMERGENCY MEDICINE;MODELLING THE ASSOCIATION BETWEEN FIBRINOGEN CONCENTRATION ON ADMISSION AND MORTALITY IN PATIENTS WITH MASSIVE TRANSFUSION AFTER SEVERE TRAUMA: AN ANALYSIS OF A LARGE REGIONAL DATABASE;"BOUZAT, PIERRE; NUGUES, JENNIFER BAS DIT";" GRENOBLE UNIV HOSP, DEPT ANESTHESIOL & INTENS CARE MED, GRENOBLE ALPS TRAUMA CTR, F-38000 GRENOBLE, FRANCE.; ";;
;ANZ JOURNAL OF SURGERY;SIMILAR LENGTH OF COLON IS REMOVED REGARDLESS OF LOCALIZATION IN RIGHT-SIDED COLONIC CANCER SURGERY;"SIEBERT, MATTHIEU; TRILLING, BERTRAND; LAMOTTE, ANNA; TATON, NICOLAS; BELLIER, ALEXANDRE; FAUCHERON, JEAN LUC";" GRENOBLE UNIV HOSP, GEN SURG DEPT, COLORECTAL UNIT, GRENOBLE, FRANCE.; ";;
;ACTA DERMATO-VENEREOLOGICA;LOWER-LIMB ULCERS IN SYSTEMIC SCLEROSIS: A MULTICENTRE RETROSPECTIVE CASE-CONTROL STUDY;BLAISE, SOPHIE;" GRENOBLE UNIV HOSP, VASC MED DEPT, GRENOBLE, FRANCE.; ";;
;ACTA DERMATO-VENEREOLOGICA;LOWER-LIMB ULCERS IN SYSTEMIC SCLEROSIS: A MULTICENTRE RETROSPECTIVE CASE-CONTROL STUDY;CLAEYS, ANTOINE;" GRENOBLE UNIV HOSP CTR, NORD HOSP, DEPT DERMATOL & PHOTOBIOL, GRENOBLE, FRANCE.; ";;
;EUROPEAN RADIOLOGY;IN VIVO IMAGING OF SACCULAR HYDROPS IN HUMANS REFLECTS SENSORINEURAL HEARING LOSS RATHER THAN MENIERE'S DISEASE SYMPTOMS;ATTYE, ARNAUD;" GRENOBLE UNIV HOSP, NEURORADIOL & MR UNIT, CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";;
;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;SAFETY OF SOFOSBUVIR-BASED REGIMENS AFTER LIVER TRANSPLANTATION: LONGITUDINAL ASSESSMENT OF RENAL FUNCTION IN THE PROSPECTIVE ANRS CO23 CUPILT STUDY;LEROY, V;" GRENOBLE UNIV HOSP, ALBERT MICHALLON HOSP, GRENOBLE, FRANCE.; ";;
;TOXICS;MITOCHONDRIAL MORPHOLOGY AND FUNCTION OF THE PANCREATIC -CELLS INS-1 MODEL UPON CHRONIC EXPOSURE TO SUB-LETHAL CADMIUM DOSES;ARNAUD, JOSIANE;" GRENOBLE UNIV HOSP, BIOCHEM MOL BIOL & ENVIRONM TOXICOL SB2TE, CS 10217, F-38043 GRENOBLE, FRANCE.; ";;
;DIABETES TECHNOLOGY & THERAPEUTICS;OPTIMIZATION OF INSULIN REGIMEN AND GLUCOSE OUTCOMES WITH SHORT-TERM REAL-TIME CONTINUOUS GLUCOSE MONITORING IN ADULT TYPE 1 DIABETIC PATIENTS WITH SUBOPTIMAL CONTROL ON MULTIPLE DAILY INJECTIONS: THE ADULT DIACCOR STUDY;BENHAMOU, PIERRE-YVES;" GRENOBLE UNIV HOSP, ENDOCRINOL DIABET CARE UNIT, GRENOBLE, FRANCE.; ";;
;FRONTIERS IN ENDOCRINOLOGY;NEW AUTOMATIZED METHOD OF 3D MULTICULTURE VIABILITY ANALYSIS BASED ON CONFOCAL IMAGERY: APPLICATION TO ISLETS AND MESENCHYMAL STEM CELLS CO-ENCAPSULATION;"FONTAINE, ERIC; BENHAMOU, PIERRE-YVES; LABLANCHE, SANDRINE";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.;";;
;BRITISH JOURNAL OF CANCER;THE TYROSINE-KINASE INHIBITOR SUNITINIB TARGETS VASCULAR ENDOTHELIAL (VE)-CADHERIN: A MARKER OF RESPONSE TO ANTITUMOURAL TREATMENT IN METASTATIC RENAL CELL CARCINOMA;DEROUX, ALBAN;" GRENOBLE UNIV HOSP, DIV INTERNAL MED, F-38043 GRENOBLE, FRANCE.; ";;
;BRITISH JOURNAL OF CANCER;THE TYROSINE-KINASE INHIBITOR SUNITINIB TARGETS VASCULAR ENDOTHELIAL (VE)-CADHERIN: A MARKER OF RESPONSE TO ANTITUMOURAL TREATMENT IN METASTATIC RENAL CELL CARCINOMA;QUESADA, JEAN-LOUIS;" GRENOBLE UNIV HOSP, INSERM, CLIN INVEST CTR, UNITE 003, F-38043 GRENOBLE, FRANCE.; ";;
;BRITISH JOURNAL OF SURGERY;MULTICENTRE STUDY OF LAPAROSCOPIC OR OPEN ASSESSMENT OF THE PERITONEAL CANCER INDEX (BIG-RENAPE);"ARVIEUX, C.;";" HOP ALBERT MICHALLON, GRENOBLE UNIV HOSP, DEPT VISCERAL SURG, GRENOBLE, FRANCE.; ";;
;HAEMATOLOGICA;IMPACT OF EXTRAMEDULLARY DISEASE IN PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA UNDERGOING AUTOLOGOUS STEM CELL TRANSPLANTATION: A STUDY FROM THE CHRONIC MALIGNANCIES WORKING PARTY OF THE EBMT;MARIETTE, CLARA;" GRENOBLE UNIV HOSP, DEPT HEMATOL, LA TRONCHE, FRANCE.; ";;
;PLOS ONE;COMPUTER-ASSISTED TEACHING OF BILATERAL SAGITTAL SPLIT OSTEOTOMY: LEARNING CURVE FOR CONDYLAR POSITIONING;BETTEGA, GEORGES;" GRENOBLE UNIV HOSP, PLAST & MAXILLOFACIAL SURG DEPT, GRENOBLE, FRANCE.;";;
;PLOS ONE;THE CONTRIBUTION OF OPEN COMMENTS TO UNDERSTANDING THE RESULTS FROM THE HOSPITAL SURVEY ON PATIENT SAFETY CULTURE (HSOPS): A QUALITATIVE STUDY;"BOUSSAT, BASTIEN; KAMALANAVIN, KEVIN; FRANCOIS, PATRICE";" GRENOBLE UNIV HOSP, QUAL CARE UNIT, GRENOBLE, FRANCE.; ";;
;JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY;DEVICE-RELATED THROMBOSIS AFTER PERCUTANEOUS LEFT ATRIAL APPENDAGE OCCLUSION FOR ATRIAL FIBRILLATION;"JACON, PEGGY; VENIER, SANDRINE; DEFAYE, PASCAL";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.;";;
;BIOMEDICAL SIGNAL PROCESSING AND CONTROL;A CONVOLUTIONAL NEURAL NETWORK FOR SLEEP STAGE SCORING FROM RAW SINGLE-CHANNEL EEG;VERCUEIL, LAURENT;" GRENOBLE UNIV HOSP, DEPT EXPLORAT FONCT SYST NERVEUX, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";;
;BIOMEDICAL SIGNAL PROCESSING AND CONTROL;A CONVOLUTIONAL NEURAL NETWORK FOR SLEEP STAGE SCORING FROM RAW SINGLE-CHANNEL EEG;PAYEN, JEAN-FRANCOIS;" GRENOBLE UNIV HOSP, DEPT ANESTH & CRIT CARE, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.;";;
;JOURNAL OF PEDIATRIC SURGERY;THORACIC SKELETAL ANOMALIES FOLLOWING SURGICAL TREATMENT OF ESOPHAGEAL ATRESIA. LESSONS FROM A NATIONAL COHORT;PIOLAT, CHRISTIAN;" GRENOBLE UNIV HOSP, POLE COUPLE ENFANT, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";;
;BRITISH JOURNAL OF ANAESTHESIA;NON-INVASIVE POSITIVE-PRESSURE VENTILATION WITH POSITIVE END-EXPIRATORY PRESSURE COUNTERACTS INWARD AIR LEAKS DURING PREOXYGENATION: A RANDOMISED CROSSOVER CONTROLLED STUDY IN HEALTHY VOLUNTEERS;"LE GALL, F.;; TERZI, N.;";" GRENOBLE UNIV HOSP, MED INTENS CARE UNIT, LA TRONCHE, FRANCE.; ";;
;CLINICAL TRANSPLANTATION;AORTIC BYPASS SURGERY FOR ASYMPTOMATIC PATIENTS AWAITING A KIDNEY TRANSPLANT: A WORD OF CAUTION;"FRANQUET, QUENTIN; TERRIER, NICOLAS; RAMBEAUD, JEAN-JACQUES; LONG, JEAN-ALEXANDRE; DESCOTES, JEAN-LUC; FIARD, GAELLE";" GRENOBLE UNIV HOSP, DEPT UROL & KIDNEY TRANSPLANTAT, GRENOBLE 09, FRANCE.; ";;
;CLINICAL TRANSPLANTATION;AORTIC BYPASS SURGERY FOR ASYMPTOMATIC PATIENTS AWAITING A KIDNEY TRANSPLANT: A WORD OF CAUTION;PIRVU, AUGUSTIN;" GRENOBLE UNIV HOSP, DEPT VASC SURG, GRENOBLE, FRANCE.; ";;
;CLINICAL TRANSPLANTATION;AORTIC BYPASS SURGERY FOR ASYMPTOMATIC PATIENTS AWAITING A KIDNEY TRANSPLANT: A WORD OF CAUTION;"JANBON, BENEDICTE; TETAZ, RACHEL; MALVEZZI, PAOLO; JOUVE, THOMAS";" GRENOBLE UNIV HOSP, DEPT NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRAN, GRENOBLE, FRANCE.;";;
;EPILEPTIC DISORDERS;THE LINK BETWEEN STRUCTURAL CONNECTIVITY AND NEUROCOGNITION ILLUSTRATED BY FOCAL EPILEPSY;"JOB, ANNE-SOPHIE; MINOTTI, LORELLA; KAHANE, PHILIPPE";" GRENOBLE UNIV HOSP, GIN, UGA INSERM SYNCHRONISAT & MODULAT RESEAUX NEURONA, GRENOBLE, FRANCE.;";;
;BONE MARROW TRANSPLANTATION;BETTER OUTCOME WITH HAPLOIDENTICAL OVER HLA-MATCHED RELATED DONORS IN PATIENTS WITH HODGKIN'S LYMPHOMA UNDERGOING ALLOGENEIC HAEMATOPOIETIC CELL TRANSPLANTATION-A STUDY BY THE FRANCOPHONE SOCIETY OF BONE MARROW TRANSPLANTATION AND CELLULAR THERAPY;REGNY, CAROLINE;" GRENOBLE UNIV HOSP, DEPT HAEMATOL, GRENOBLE, FRANCE.; ";;
;JOURNAL OF NUCLEAR CARDIOLOGY;SYMPATHETIC CARDIAC FUNCTION IN EARLY SEPSIS: NONINVASIVE EVALUATION WITH [I-123]-META-IODOBENZYLGUANIDINE (I-123-MIBG) IN VIVO SPECT IMAGING;"DESRUET, MARIE-DOMINIQUE; FAGRET, DANIEL";" GRENOBLE UNIV HOSP, DEPT NUCL MED, GRENOBLE, FRANCE.; ";;
;JOURNAL OF NUCLEAR CARDIOLOGY;SYMPATHETIC CARDIAC FUNCTION IN EARLY SEPSIS: NONINVASIVE EVALUATION WITH [I-123]-META-IODOBENZYLGUANIDINE (I-123-MIBG) IN VIVO SPECT IMAGING;SCHWEBEL, CAROLE;" GRENOBLE UNIV HOSP, INTENS CARE UNIT, GRENOBLE, FRANCE.; ";;
;CANCER EPIDEMIOLOGY;A NEW APPROACH TO ESTIMATE TIME-TO-CURE FROM CANCER REGISTRIES DATA;COLONNA, MARC;" GRENOBLE UNIV HOSP, REGISTRE CANC ISERE, F-38000 GRENOBLE, FRANCE.;";;
;CLINICAL AND TRANSLATIONAL ALLERGY;EFFECTIVENESS OF ICATIBANT FOR TREATMENT OF HEREDITARY ANGIOEDEMA ATTACKS IS NOT AFFECTED BY BODY WEIGHT: FINDINGS FROM THE ICATIBANT OUTCOME SURVEY, A COHORT OBSERVATIONAL STUDY;BOUILLET, LAURENCE;" GRENOBLE UNIV HOSP, NATL REFERENCE CTR ANGIOEDEMA INTERNAL MED, GRENOBLE, FRANCE.; ";;
;JOURNAL OF NEUROLOGY;GLIOBLASTOMA AS DIFFERENTIAL DIAGNOSIS OF AUTOIMMUNE ENCEPHALITIS;GRAND, SYLVIE;" GRENOBLE UNIV HOSP, DEPT NEURORADIOL, GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRAUMA AND ACUTE CARE SURGERY;RESUSCITATIVE ENDOVASCULAR BALLOON OCCLUSION OF THE AORTA FOR PELVIC BLUNT TRAUMA AND LIFE-THREATENING HEMORRHAGE: A 20-YEAR EXPERIENCE IN A LEVEL I TRAUMA CENTER;"PIEPER, AUDREY; BRUN, JULIEN; PAYEN, JEAN-FRANCOIS; BOUZAT, PIERRE";" GRENOBLE UNIV HOSP, GRENOBLE ALPS TRAUMA CTR, DEPT ANESTHESIOL & INTENS CARE MED, GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRAUMA AND ACUTE CARE SURGERY;RESUSCITATIVE ENDOVASCULAR BALLOON OCCLUSION OF THE AORTA FOR PELVIC BLUNT TRAUMA AND LIFE-THREATENING HEMORRHAGE: A 20-YEAR EXPERIENCE IN A LEVEL I TRAUMA CENTER;"THONY, FREDERIC; RODIERE, MATHIEU";" GRENOBLE UNIV HOSP, DEPT RADIOL, GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRAUMA AND ACUTE CARE SURGERY;RESUSCITATIVE ENDOVASCULAR BALLOON OCCLUSION OF THE AORTA FOR PELVIC BLUNT TRAUMA AND LIFE-THREATENING HEMORRHAGE: A 20-YEAR EXPERIENCE IN A LEVEL I TRAUMA CENTER;BOUSSAT, BASTIEN;" GRENOBLE UNIV HOSP, QUAL CARE UNIT, GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRAUMA AND ACUTE CARE SURGERY;RESUSCITATIVE ENDOVASCULAR BALLOON OCCLUSION OF THE AORTA FOR PELVIC BLUNT TRAUMA AND LIFE-THREATENING HEMORRHAGE: A 20-YEAR EXPERIENCE IN A LEVEL I TRAUMA CENTER;ARVIEUX, CATHERINE;" GRENOBLE UNIV HOSP, DEPT EMERGENCY SURG & VISCERAL SURG, GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRAUMA AND ACUTE CARE SURGERY;RESUSCITATIVE ENDOVASCULAR BALLOON OCCLUSION OF THE AORTA FOR PELVIC BLUNT TRAUMA AND LIFE-THREATENING HEMORRHAGE: A 20-YEAR EXPERIENCE IN A LEVEL I TRAUMA CENTER;TONETTI, JEROME;" GRENOBLE UNIV HOSP, DEPT ORTHOPAED SURG, GRENOBLE, FRANCE.;";;
;CLINICAL LYMPHOMA MYELOMA & LEUKEMIA;INTERIM PET RESPONSE-ADAPTED STRATEGY IN UNTREATED ADVANCED STAGE HODGKIN LYMPHOMA: RESULTS OF GOELAMS LH 2007 PHASE 2 MULTICENTRIC TRIAL;"CARRAS, SYLVAIN; MOLINA, LYSIANE";" GRENOBLE UNIV HOSP, HEMATOL DEPT, GRENOBLE, FRANCE.; ";;
;CLINICAL LYMPHOMA MYELOMA & LEUKEMIA;INTERIM PET RESPONSE-ADAPTED STRATEGY IN UNTREATED ADVANCED STAGE HODGKIN LYMPHOMA: RESULTS OF GOELAMS LH 2007 PHASE 2 MULTICENTRIC TRIAL;DUBOIS, BENJAMIN;" GRENOBLE UNIV HOSP, NUCL MED DEPT, GRENOBLE, FRANCE.; ";;
;SCIENTIFIC REPORTS;QUANTITATIVE IMAGING OF REGIONAL AEROSOL DEPOSITION, LUNG VENTILATION AND MORPHOLOGY BY SYNCHROTRON RADIATION CT;"BAYAT, S.;";" GRENOBLE UNIV HOSP, DEPT CLIN PHYSIOL SLEEP & EXERCISE, GRENOBLE, FRANCE.;";;
;KOREAN JOURNAL OF PARASITOLOGY;SERODIAGNOSIS OF EXTRAINTESTINAL AMEBIASIS: RETROSPECTIVE EVALUATION OF THE DIAGNOSTIC PERFORMANCE OF THE BORDIER (R) ELISA KIT;"BEYLS, NICOLAS; COGNET, ODILE; PELLOUX, HERVE";" GRENOBLE UNIV HOSP, PARASITOL MYCOL LAB, F-38043 GRENOBLE, FRANCE.; ";;
;KOREAN JOURNAL OF PARASITOLOGY;SERODIAGNOSIS OF EXTRAINTESTINAL AMEBIASIS: RETROSPECTIVE EVALUATION OF THE DIAGNOSTIC PERFORMANCE OF THE BORDIER (R) ELISA KIT;STAHL, JEAN-PAUL;" GRENOBLE UNIV HOSP, INFECT DIS UNIT, F-38043 GRENOBLE, FRANCE.; ";;
;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;CHRONIC ANTERIOR SHOULDER INSTABILITY WITH SIGNIFICANT HILL-SACHS LESION: ARTHROSCOPIC BANKART WITH REMPLISSAGE VERSUS OPEN LATARJET PROCEDURE;"LATEUR, G.; M.;";" GRENOBLE UNIV HOSP, HOP SUD, SPORTS ORTHOPAED SURG & TRAUMATOL, GRENOBLE, FRANCE.; ";;
;EUROPEAN JOURNAL OF ANAESTHESIOLOGY;EUROPEAN GUIDELINES ON PERIOPERATIVE VENOUS THROMBOEMBOLISM PROPHYLAXIS: CHRONIC TREATMENTS WITH ANTIPLATELET AGENTS;ALBALADEJO, PIERRE;" GRENOBLE UNIV HOSP, DEPT ANAESTHESIA & CRIT CARE MED, GRENOBLE, FRANCE.;";;
;JOURNAL OF ONCOLOGY;EFFICACY OF IMMUNOTHERAPY IN PATIENTS WITH METASTATIC MUCOSAL OR UVEAL MELANOMA;"TRABELSI, SABIHA; LECCIA, MARIE-THERESE";" GRENOBLE UNIV HOSP, DEPT DERMATOL, GRENOBLE, FRANCE.; ";;
