Identifiant;Nombre de citations;Nombre de références;Titre;auteur
arXiv:2002.08950;0;131;Transcending the ensemble: baby universes, spacetime wormholes, and the order and disorder of black hole information;Donald Marolf, Henry Maxfield
doi.org/10.1002/andp.201800375;1;46;Forecasting Laurent Polynomial in the Chern–Simons Current of V3 Loop Time Series;"Richard Pin?ák
Kabin Kanjamapornkul
Erik Bartoš"
DOI: 10.1016/j.ppnp.2019.103739;2;181;BCS–BEC crossover in cold atomic and in nuclear systems;Y.Ohashi H.Tajima P.van Wyk 
